timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-08-16 00:00:00,117342.04,117342.04,117231.14,117264.86,19.26172,1755302459999,2259039.46236510,2711,4.63616000,543639.18143890,0
2025-08-16 00:01:00,117264.86,117298.22,117264.85,117276.88,3.11582,1755302519999,365451.73665220,903,1.87496000,219910.89826040,0
2025-08-16 00:02:00,117276.88,117276.88,117242.82,117242.83,4.60831,1755302579999,540397.23646200,1718,1.68336000,197383.92398890,0
2025-08-16 00:03:00,117242.82,117305.98,117242.82,117305.98,5.82041,1755302639999,682463.79259830,1620,5.30163000,621632.81327560,0
2025-08-16 00:04:00,117305.98,117341.66,117305.97,117341.65,61.98824,1755302699999,7272901.77111540,1621,42.39886000,4974510.76852940,0
2025-08-16 00:05:00,117341.66,117419.45,117341.65,117396.5,6.21186,1755302759999,729155.39046070,2259,4.08585000,479556.68144060,0
2025-08-16 00:06:00,117396.5,117406.0,117312.88,117322.31,9.39301,1755302819999,1102444.22334620,3696,1.17127000,137448.53181820,0
2025-08-16 00:07:00,117322.31,117375.64,117322.31,117375.63,2.20145,1755302879999,258371.41828310,1310,1.84163000,216140.21637970,0
2025-08-16 00:08:00,117375.64,117381.6,117364.47,117381.6,2.78524,1755302939999,326913.58146770,1039,0.70667000,82942.54039980,0
2025-08-16 00:09:00,117381.15,117435.45,117381.15,117435.45,2.76696,1755302999999,324885.68611410,1208,2.45923000,288751.23542580,0
2025-08-16 00:10:00,117435.44,117453.8,117412.68,117449.53,17.68835,1755303059999,2077324.59205290,2534,11.26865000,1323372.35434190,0
2025-08-16 00:11:00,117449.52,117469.14,117445.39,117469.14,3.35402,1755303119999,393957.69695270,1285,1.66074000,195074.23897420,0
2025-08-16 00:12:00,117469.13,117469.14,117469.13,117469.14,1.13218,1755303179999,132996.20401650,219,0.44131000,51840.30617340,0
2025-08-16 00:13:00,117469.14,117491.44,117469.13,117491.43,13.12856,1755303239999,1542468.80730040,855,0.97300000,114302.00401620,0
2025-08-16 00:14:00,117491.43,117491.44,117491.43,117491.44,1.59299,1755303299999,187162.68740960,205,1.43339000,168411.05518160,0
2025-08-16 00:15:00,117491.44,117563.43,117420.39,117563.42,41.11696,1755303359999,4830868.77785300,3882,32.50693000,3819382.33500170,0
2025-08-16 00:16:00,117563.42,117563.44,117470.22,117491.43,17.86444,1755303419999,2099803.15207130,2978,4.56884000,536946.37481320,0
2025-08-16 00:17:00,117491.44,117492.2,117446.64,117477.95,3.98552,1755303479999,468217.24042960,2164,0.98536000,115747.49173120,0
2025-08-16 00:18:00,117477.96,117477.96,117403.58,117403.58,20.68222,1755303539999,2428582.61315830,3108,3.75316000,440764.10236890,0
2025-08-16 00:19:00,117403.58,117410.63,117356.42,117363.74,22.93915,1755303599999,2692193.81715490,2168,18.49925000,2171022.95488490,0
2025-08-16 00:20:00,117363.74,117416.04,117363.73,117388.73,29.47228,1755303659999,3459842.77181970,1887,10.07531000,1182508.37312590,0
2025-08-16 00:21:00,117388.74,117394.99,117356.47,117394.98,9.4478,1755303719999,1108839.87222180,1581,5.36265000,629364.44741500,0
2025-08-16 00:22:00,117394.99,117447.48,117384.69,117447.47,6.77687,1755303779999,795598.04979340,1743,3.27027000,383933.53402830,0
2025-08-16 00:23:00,117447.47,117461.68,117447.47,117461.68,1.59877,1755303839999,187778.92307720,352,0.94643000,111157.38129340,0
2025-08-16 00:24:00,117461.67,117470.78,117461.67,117461.68,2.29315,1755303899999,269374.98813920,601,0.46154000,54214.66093650,0
2025-08-16 00:25:00,117461.68,117532.49,117461.67,117532.48,8.78687,1755303959999,1032535.42000330,1102,8.19364000,962842.42124190,0
2025-08-16 00:26:00,117532.48,117536.0,117521.7,117536.0,5.88516,1755304019999,691691.37192320,687,0.81359000,95618.20412980,0
2025-08-16 00:27:00,117535.99,117536.0,117442.87,117442.88,8.83408,1755304079999,1037949.45149950,3550,0.39007000,45818.99916960,0
2025-08-16 00:28:00,117442.88,117477.06,117442.88,117477.05,6.59273,1755304139999,774446.45173250,1131,2.81610000,330783.67281090,0
2025-08-16 00:29:00,117477.06,117479.98,117469.3,117479.98,5.92809,1755304199999,696409.42489470,676,0.73650000,86518.17056480,0
2025-08-16 00:30:00,117479.98,117517.99,117478.3,117517.99,2.57827,1755304259999,302924.20089920,892,1.37838000,161950.60037680,0
2025-08-16 00:31:00,117517.98,117577.2,117517.98,117567.51,4.91998,1755304319999,578349.24591310,1375,4.67897000,550014.23916930,0
2025-08-16 00:32:00,117567.5,117586.1,117528.17,117528.18,7.43284,1755304379999,873839.93598760,1967,1.11628000,131241.30975920,0
2025-08-16 00:33:00,117528.17,117610.73,117528.17,117606.01,11.30614,1755304439999,1329391.35727300,1960,10.91804000,1283753.47773950,0
